Time (s),Sensor 1 - Short Channel
19.050957202911377,2720
19.06102705001831,2692
19.071070909500122,2880
19.080708980560303,2498
19.09085202217102,2778
19.100771188735962,2755
19.110559940338135,2516
19.120707035064697,2840
19.130692958831787,2527
19.140796899795532,2804
19.150744199752808,2706
19.16067099571228,2559
19.17076802253723,2877
19.180743932724,2539
19.190723180770874,2809
19.200361013412476,2670
19.210488080978394,2679
19.220429182052612,2873
19.230457067489624,2422
19.240525007247925,2798
19.250521898269653,2598
19.260766983032227,2610
19.27040410041809,2575
19.280508041381836,2185
19.290487051010132,2373
19.30035901069641,2044
19.31031823158264,2101
19.320290088653564,2175
19.330281019210815,2003
19.340287923812866,2342
19.350335121154785,2136
19.360167026519775,2324
19.369853973388672,2440
19.379859924316406,2128
19.389920949935913,2647
19.399872064590454,2423
19.40983510017395,2572
19.419844150543213,2758
19.429891109466553,2326
19.439784049987793,2830
19.449758052825928,2524
19.459645986557007,2569
19.46954083442688,2799
19.479443073272705,2353
19.489452123641968,2765
19.499510049819946,2588
19.509380102157593,2695
